title,body,category_id,user_id
Part 1 - C# Tutorial - Introduction.avi,https://youtu.be/SXmVym6L8dw,3,1
Part 2 - C# Tutorial - Reading and writing to a console.avi,https://youtu.be/6QcHJ33YrYk,3,1
Part 3 - C# Tutorial - Built - in types.avi,https://youtu.be/y3k5d6xub-E,3,1
Part 4 - C# Tutorial - String type in c#.avi,https://youtu.be/5g3TTPaGVzE,3,1
Part 5 - C# Tutorial - Common Operators in c#.avi,https://youtu.be/xFWwWcZ74gU,3,1
Part 6 - C# Tutorial - Nullable Types.avi,https://youtu.be/HuLJbiqpIM0,3,1
Part 7   C# Tutorial   Datatypes conversion,https://youtu.be/IcDaNmGDMoM,3,1
Part 8 - C# Tutorial - Arrays in C#.avi,https://youtu.be/7sqUaw4g_iQ,3,1
Part 9 - C# Tutorial - Comments in C#.avi,https://youtu.be/PRgAAokHBNw,3,1
Part 10 - C# Tutorial - If statement in C#,https://youtu.be/_TIAA-vgNeY,3,1
Part 11 - C# Tutorial - switch statement in C#,https://youtu.be/soKhwNYxs2I,3,1
Part 12 - C# Tutorial - switch statement in c# continued,https://youtu.be/iORcA42zptA,3,1
Part 13 - C# Tutorial - while loop in c#,https://youtu.be/5xlc9qzOQmk,3,1
Part 14 - C# Tutorial - do while loop in c#,https://youtu.be/s7fVZZeNXec,3,1
Part 15 - C# Tutorial - for and foreach loops in c#.avi,https://youtu.be/2zbFaDbADsQ,3,1
Part 16 - C# Tutorial - Methods in c#.avi,https://youtu.be/c4hOXIG8yPo,3,1
Part 17 - C# Tutorial - Method parameters.avi,https://youtu.be/7xYSFbUPP0E,3,1
Part 18 - C# Tutorial - Namespaces.avi,https://youtu.be/IQTbvVemMAg,3,1
Part 19 - C# Tutorial - Introduction to classes.avi,https://youtu.be/Us2i7D-urgs,3,1
Part 20 - C# Tutorial - Static and instance class members.avi,https://youtu.be/cFQLmHCguGs,3,1
Part 21 - C# Tutorial - Inheritance in c#.avi,https://youtu.be/OLTk0xAVY00,3,1
Part 22 - C# Tutorial - Method hiding in c#.avi,https://youtu.be/0FhagHE3nw8,3,1
Part 23 - C# Tutorial - Polymorphism in c#.avi,https://youtu.be/4a_iTOtGhM8,3,1
Part 24 - C# Tutorial - Difference between method overriding and method hiding.avi,https://youtu.be/7Igt-X-9WF8,3,1
Part 25 - C# Tutorial - Method overloading in c#.avi,https://youtu.be/lSYpddX1jVI,3,1
Part 26 - C# Tutorial - Why Properties.avi,https://youtu.be/uYXQH2QFmqk,3,1
Part 27 - C# Tutorial - Properties in C#.avi,https://youtu.be/iGR425gMKeA,3,1
Part 28 - C# Tutorial - Structs in C#.avi,https://youtu.be/M8DZqt3tCr4,3,1
Part 29 - C# Tutorial - Difference between classes and structs in c#.avi,https://youtu.be/AGNW0jH1sn0,3,1
Part 30 - C# Tutorial - Interfaces in c#.avi,https://youtu.be/D6d8CIVoYSI,3,1
Part 31 - C# Tutorial - Explicit interfaces implementation.avi,https://youtu.be/5C7W98VVI88,3,1
Part 32 - C# Tutorial - Abstract classes in c#.avi,https://youtu.be/7amjs2y_dgo,3,1
Part 33 - C# Tutorial - Difference between abstract classes and interfaces.avi,https://youtu.be/hlLqvwocSr4,3,1
Part 34 - C# Tutorial - Problems of multiple class inheritance.avi,https://youtu.be/5KFCD-DxEhw,3,1
Part 35 - C# Tutorial - Multiple class inheritance using interfaces.avi,https://youtu.be/Huj3Jbz-NFw,3,1
Part 36 - C# Tutorial - Delegates in c#.avi,https://youtu.be/D2h46fvQX04,3,1
Part 37 - C# Tutorial - Delegates usage in c#.avi,https://youtu.be/vBOzvNO8lvk,3,1
Part 38 - C# Tutorial - Delegates usage in c# continued.avi,https://youtu.be/s0tkKZoMN1Y,3,1
Part 39   C# Tutorial   Multicast Delegates in C#,https://youtu.be/7uJYp9NIhfQ,3,1
Part 40   C# Tutorial   Exception Handling in C#,https://youtu.be/WxdSb3ZCWYc,3,1
Part 41   C# Tutorial   Inner Exceptions in C#,https://youtu.be/MO3sOTWfZPc,3,1
Part 42   C# Tutorial   Custom Exceptions in C#,https://youtu.be/9qHb-2Edg7o,3,1
Part 43   C# Tutorial   Exception handling abuse,https://youtu.be/anbiOWXem98,3,1
Part 44   C# Tutorial   Preventing exception handling abuse,https://youtu.be/xiIpETRweVo,3,1
Part 45   C# Tutorial   Why Enums,https://youtu.be/g-LJlrMXZ5k,3,1
Part 46   C# Tutorial   Enums Example,https://youtu.be/HsTVTCP-c4w,3,1
Part 47   C# Tutorial   Enums in c#,https://youtu.be/2f5R8NdIdzc,3,1
Part 48   C# Tutorial   Difference between Types and Type Members,https://youtu.be/Y6WWi6t-C1c,3,1
Part 49   C# Tutorial   Access Modifiers in C#,https://youtu.be/G238zPCJBu4,3,1
Part 50   C# Tutorial   Internal and Protected Internal Access Modifiers in C#,https://youtu.be/2h27E7Yw2E8,3,1
Part 51   C# Tutorial   Access Modifiers for types,https://youtu.be/SfJY1X7XSco,3,1
Part 52   C# Tutorial   Attributes in C#,https://youtu.be/TWZXj27-6Cw,3,1
Part 53   C# Tutorial   Reflection in C#,https://youtu.be/y8-uq6Ur7Dc,3,1
Part 54   C# Tutorial Reflection Example,https://youtu.be/vHHd3GNOuXU,3,1
Part 55   C# Tutorial   Late binding using reflection,https://youtu.be/s0eIgl5iqqQ,3,1
Part 56   C# Tutorial   Generics in C#,https://youtu.be/-zHRmXkJ5Bw,3,1
Part 57 C# Tutorial Why should you override ToString Method,https://youtu.be/MwPZLPNR3ns,3,1
Part 58 C# Tutorial Why should you override Equals Method,https://youtu.be/IhXWil0kcTo,3,1
Part 59 C# Tutorial Difference between Convert ToString and ToString,https://youtu.be/j8QODekVo58,3,1
Part 60 C# Tutorial Difference between String and StringBuilder,https://youtu.be/4lFAs6FYTXg,3,1
Part 61  Partial classes in c#,https://youtu.be/yNCkrtmqpW0,3,1
Part 62   Creating partial classes in c#,https://youtu.be/eB7UhLBW87U,3,1
Part 63   Partial methods in c#,https://youtu.be/NDlR24_sPTo,3,1
Part 64 - C# Tutorial - How and where are indexers used in .net,https://youtu.be/iHj8HHCjQU0,3,1
Part 65 - C# Tutorial - Indexers in c#,https://youtu.be/km1hd9-dVz4,3,1
Part 66 - C# Tutorial - Overloading indexers in c#,https://youtu.be/teBsjG20TW4,3,1
Part 67 Optional parameters in c#,https://youtu.be/jbtjGii300k,3,1
Part 68  Making method parameters optional using method overloading,https://youtu.be/khcOI3-Kh84,3,1
Part 69  Making method parameters optional by specifying parameter defaults,https://youtu.be/Dmycz0ro1Yc,3,1
Part 70  Making method parameters optional by using OptionalAttribute,https://youtu.be/p_9f5SSXxLw,3,1
Part 71   Code snippets in visual studio,https://youtu.be/lBmb_3Uv5xI,3,1
Part 72   What is dictionary in c#,https://youtu.be/fMjt6ywaSow,3,1
Part 73   What is dictionary in c# continued,https://youtu.be/E8QbpMxO_As,3,1
Part 74   List collection class in c#,https://youtu.be/gXyoJA579QI,3,1
Part 75   List collection class in c# continued,https://youtu.be/2DKvOREiLBg,3,1
Part 76   Working with generic list class and ranges in c#,https://youtu.be/ASGgnLD4C-E,3,1
Part 77   Sort a list of simple types in c#,https://youtu.be/CHqg6qOn4no,3,1
Part 78   Sort a list of complex types in c#,https://youtu.be/6bUI6r19z-s,3,1
Part 79   Sort a list of complex types using Comparison delegate,https://youtu.be/CMQ-RRh2FR8,3,1
Part 80   Some useful methods of List collection class,https://youtu.be/KdiOQWwMXCE,3,1
Part 81   When to use a dictionary over list in c#,https://youtu.be/mOatGvMrt68,3,1
Part 82   Generic queue collection class,https://youtu.be/_Ffr_qo0BbM,3,1
Part 83   Generic stack collection class,https://youtu.be/Sn6Qa26EeQc,3,1
Part 84   Real time example of queue collection class in c#,https://youtu.be/SIs7ZsMCUWA,3,1
Part 85   Real time example of stack collection class in c#,https://youtu.be/Lz8BVFmCX6E,3,1
Part 86   Multithreading in C#,https://youtu.be/8mjqXiggWNc,3,1
Part 87   Advantages and disadvantages of multithreading,https://youtu.be/3QyeiwdymGU,3,1
Part 88   ThreadStart delegate,https://youtu.be/DzW4DdlPCEo,3,1
Part 89   ParameterizedThreadStart delegate,https://youtu.be/pGKn2sOZBGg,3,1
Part 90   Passing data to the Thread function in a type safe manner,https://youtu.be/asSMDgkwIvw,3,1
Part 91   Retrieving data from Thread function using callback method,https://youtu.be/cnaLAIpRUws,3,1
Part 92   Significance of Thread Join and Thread IsAlive functions,https://youtu.be/fjvMr12TU1Q,3,1
Part 93   Protecting shared resources from concurrent access in multithreading,https://youtu.be/pjzplzR8E3U,3,1
Part 94   Difference between Monitor and lock in C#,https://youtu.be/N9jJKPVxD7c,3,1
